time,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11
225,64.67,44.93,18.76,15.96,21.63,4.82,5.78,3.87,8.80,15.15,-1.31
226,62.86,44.13,17.65,15.38,21.00,4.25,6.10,3.78,8.39,15.09,-1.56
227,62.17,43.92,17.12,14.89,19.88,4.20,6.50,3.18,8.34,14.63,0.15
228,60.47,42.52,18.07,14.64,19.51,4.59,6.37,3.05,8.02,13.11,-2.02
229,57.57,40.77,17.22,13.81,19.83,3.71,5.21,3.13,7.76,13.53,-1.06
230,57.00,39.94,15.36,13.34,18.73,3.50,5.33,3.68,7.10,12.79,-0.92
231,54.74,38.42,15.64,13.67,18.35,3.79,4.61,3.23,7.03,12.43,-0.18
232,53.48,37.49,14.77,13.04,17.73,3.08,4.80,3.33,6.77,11.87,-0.86
233,51.87,36.59,14.30,11.70,16.67,2.24,4.69,2.80,6.45,11.21,-0.64
234,49.76,35.06,14.37,12.17,17.38,3.28,4.42,2.48,6.46,11.40,-0.61
235,48.46,33.36,13.93,11.97,15.81,2.62,4.73,2.47,6.62,11.07,-1.05
236,46.99,32.87,12.54,11.92,14.86,2.83,5.16,3.40,5.45,10.72,-0.13
237,44.83,31.60,12.57,9.85,15.13,3.35,3.85,1.18,5.44,10.02,-0.21
238,43.16,30.45,11.98,9.84,14.18,2.79,3.78,3.22,4.79,10.51,-0.57
239,41.12,28.99,12.07,10.01,14.27,1.64,3.99,2.20,5.15,9.38,-0.13
240,39.55,28.15,10.71,9.25,13.14,2.04,3.37,2.34,5.38,9.74,-1.25
241,37.76,26.52,11.10,8.46,12.70,1.51,3.88,2.10,5.29,7.80,-0.96
242,36.25,26.60,9.53,8.32,12.86,2.24,3.82,2.48,3.90,8.70,-0.71
243,35.99,25.00,10.12,9.00,11.70,1.29,3.07,2.25,4.70,8.21,0.41
244,35.65,24.26,9.07,9.49,11.78,1.89,2.83,1.19,4.36,8.50,-0.14
245,32.85,23.03,9.92,9.25,12.35,2.64,2.92,1.36,4.04,7.88,-0.56
246,32.94,23.39,9.28,8.54,11.13,1.80,2.93,1.32,3.58,7.04,0.04
247,31.70,22.02,9.60,7.63,10.04,1.51,3.10,1.92,3.30,7.36,-0.62
248,31.63,21.55,8.90,6.56,9.96,2.08,3.45,2.03,4.19,6.05,-0.74
249,31.18,21.69,9.05,7.38,9.47,1.68,3.60,2.26,3.74,6.53,-1.19
250,30.50,21.10,8.49,6.42,10.62,2.16,3.01,2.29,3.62,7.06,-0.75
251,29.21,21.04,7.98,7.53,9.15,2.73,3.21,1.51,3.47,6.57,-0.39
252,29.63,21.20,8.90,6.83,9.77,1.77,2.57,1.88,3.62,6.89,0.54
253,30.03,20.89,7.41,6.94,10.90,2.05,2.54,2.11,3.38,6.98,-0.02
254,30.90,20.82,8.80,7.28,9.39,2.48,1.90,0.42,3.75,8.20,-0.51
255,30.68,21.35,8.66,7.77,10.32,1.85,2.51,2.80,3.20,8.06,-0.07
256,31.99,21.72,9.18,8.10,10.23,1.63,3.56,2.29,3.38,6.94,-0.23
