time,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11
215,69.75,48.82,19.88,17.79,24.06,5.18,6.63,4.46,9.01,16.24,-1.16
216,69.91,49.44,20.12,16.17,23.47,3.81,6.67,4.43,9.35,15.67,-0.62
217,70.37,48.92,20.40,17.47,23.20,5.64,6.54,4.63,8.08,16.55,-1.01
218,69.49,48.92,20.26,17.54,23.07,4.82,6.85,4.53,8.21,16.26,-1.38
219,69.43,48.30,19.43,16.33,23.91,3.44,6.13,4.47,8.99,16.92,-1.16
220,69.38,47.90,20.02,15.67,22.86,4.85,7.05,2.87,8.74,15.10,-0.36
221,68.32,47.78,19.83,15.93,24.06,5.36,6.22,3.01,8.56,16.10,-1.33
222,67.27,46.98,20.05,15.89,21.97,3.49,5.90,3.24,9.05,15.70,-0.99
223,65.53,45.76,18.04,15.89,22.56,4.24,6.24,3.80,7.65,15.40,-0.63
224,64.43,45.34,18.07,15.61,22.11,4.34,6.56,4.00,8.80,15.68,-1.12
225,63.11,43.70,18.07,14.87,21.41,3.49,5.62,3.51,8.74,15.72,-0.66
226,62.71,44.75,18.37,15.30,21.05,4.10,5.80,4.08,8.22,14.70,-0.55
227,61.69,42.64,17.48,14.14,21.66,4.07,4.90,2.82,9.32,14.00,0.08
228,60.03,42.02,17.80,13.97,20.64,3.52,5.90,3.44,8.11,14.49,-0.50
229,58.50,40.72,16.91,13.99,19.94,4.03,5.68,3.01,7.98,13.25,-0.86
230,56.89,40.57,15.78,14.73,18.79,4.41,5.26,3.66,7.33,12.84,-1.14
231,55.80,39.11,16.06,13.82,18.95,2.95,5.59,2.90,7.35,13.06,-0.36
232,53.35,37.36,15.30,12.24,17.47,3.16,5.29,2.83,6.29,12.64,-0.59
233,51.46,36.06,15.21,12.06,17.43,2.50,5.87,2.89,6.65,11.57,-0.26
234,49.56,35.43,13.41,11.71,17.21,3.69,4.51,2.62,5.98,11.79,-0.38
235,48.39,33.40,14.18,11.22,14.71,3.40,4.79,2.43,6.63,10.98,-0.81
236,46.72,32.88,12.71,10.95,14.63,2.53,3.96,2.29,6.46,10.29,-1.00
237,45.59,30.50,12.36,10.87,16.18,3.43,4.19,2.05,5.13,10.58,-1.22
238,42.59,30.37,12.39,10.29,15.38,3.22,3.78,1.63,5.34,10.20,-0.86
239,42.09,27.82,12.21,9.63,14.27,2.94,2.98,1.81,5.55,9.19,-0.63
240,40.50,28.14,11.67,9.65,13.69,1.90,4.65,2.49,5.28,9.12,-0.32
241,38.51,26.86,11.76,9.71,13.00,2.34,3.62,2.38,5.33,9.22,-0.60
242,36.84,25.96,9.86,8.51,11.35,2.76,3.32,2.30,5.03,9.23,-0.18
243,36.49,24.67,10.56,8.35,11.93,2.10,4.14,2.44,5.00,7.60,-1.65
244,33.53,24.17,9.82,8.39,11.21,2.05,4.10,2.55,3.88,6.77,0.34
245,33.26,23.37,9.27,8.37,12.19,1.76,3.64,1.77,4.12,7.37,-0.23
246,32.06,24.16,9.46,7.89,10.66,1.09,2.35,1.29,4.19,7.03,0.56
247,31.07,22.64,9.58,8.64,10.96,1.90,3.26,1.69,4.34,7.59,-0.23
248,30.97,21.39,8.75,7.66,9.68,2.75,3.02,2.12,4.37,6.86,-0.61
249,30.22,20.19,8.74,7.59,9.98,1.68,2.71,1.10,4.36,7.89,0.03
250,30.33,21.83,8.73,7.41,10.28,2.46,3.08,1.72,3.92,7.69,-0.23
251,30.08,21.80,9.56,6.71,10.55,1.83,2.28,0.95,3.93,6.98,-0.21
252,29.78,21.06,8.99,6.41,9.53,2.23,3.11,1.32,3.85,6.48,0.22
253,29.53,21.28,6.92,7.55,9.52,1.11,2.29,1.75,3.38,7.10,-0.16
254,29.97,21.65,9.17,7.99,9.58,2.12,3.70,1.71,3.78,7.26,-0.66
255,30.52,21.02,8.23,6.71,9.31,1.38,3.14,1.57,4.59,7.56,-0.44
256,31.14,21.75,9.49,7.53,10.60,1.74,3.04,0.75,3.87,7.62,0.26
257,32.05,21.92,9.99,7.86,10.87,2.53,3.28,2.55,4.98,7.23,-0.64
258,32.52,22.07,8.19,7.47,10.34,2.29,2.37,2.36,3.32,7.20,-0.81
259,33.12,23.47,9.73,7.22,11.25,2.03,2.23,1.90,4.07,8.54,0.24
